time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
347,86.75,0.9340700000000005,4,0,3388,-1181.25,,,,,
500,,0.9051900000000002,,,,,-2108.0,84.6,,,
753,85.625,0.8569300000000004,8,1,453,-1068.75,,,63,0.0001,0.5230027437210083
1000,,0.81019,,,,,0.0,85.4,124,0.0001,0.41273024678230286
1173,86.0,0.7771299999999997,12,3,351,-987.5,,,168,0.0001,0.023077908903360367
1500,,0.71519,,,,,0.0,87.8,249,0.0001,0.0025222585536539555
1586,85.625,0.6986600000000003,16,4,346,-944.375,,,271,0.0001,0.004955367185175419
1930,85.7,0.6333000000000004,20,5,349,-907.75,,,357,0.0001,0.002724600024521351
2000,,0.6201899999999998,,,,,0.0,85.6,374,0.0001,0.005476281512528658
2357,86.29166666666667,0.5521700000000004,24,6,339,-870.2083333333334,,,464,0.0001,0.0029976111836731434
2500,,0.5251899999999998,,,,,0.0,84.0,499,0.0001,0.0033077788539230824
2752,86.17857142857143,0.4771200000000003,28,8,334,-828.0357142857143,,,562,0.0001,0.0033561429008841515
3000,,0.43018999999999974,,,,,0.0,88.8,624,0.0001,0.0010960455983877182
3181,86.5,0.39561,32,9,327,-792.96875,,,670,0.0001,0.006584979593753815
3500,,0.33518999999999965,,,,,0.0,87.8,749,0.0001,0.00045518719707615674
3583,86.58333333333333,0.31922999999999946,36,11,321,-749.4444444444445,,,770,0.0001,0.6023678779602051
3918,86.3,0.25558000000000025,40,12,319,-709.5,,,854,0.0001,0.01870037615299225
4000,,0.24019000000000068,,,,,0.0,87.4,874,0.0001,0.0026819321792572737
4346,86.31818181818181,0.17426000000000008,44,13,313,-665.4545454545455,,,961,0.0001,0.0014298853930085897
4500,,0.1451900000000006,,,,,0.0,84.4,999,0.0001,0.00350845861248672
4763,86.39583333333333,0.09502999999999995,48,15,308,-614.1666666666666,,,1065,0.0001,0.0004476589965634048
5000,,0.05019000000000051,,,,,0.0,86.4,1124,0.0001,0.004961424507200718
5174,86.26923076923077,0.05,52,17,303,-568.3653846153846,,,1168,0.0001,0.0006444978062063456
5500,,0.05,,,,,0.0,85.0,1249,0.0001,0.06217765808105469
5589,86.16071428571429,0.05,56,18,299,-527.7678571428571,,,1272,0.0001,1.6134148609125987e-05
5935,86.18333333333334,0.05,60,19,298,-495.0833333333333,,,1358,0.0001,4.70739250886254e-05
6000,,0.05,,,,,0.0,86.2,1374,0.0001,0.012343893758952618
6347,86.21875,0.05,64,21,294,-465.46875,,,1461,0.0001,5.7008335716091096e-05
6500,,0.05,,,,,0.0,86.4,1499,0.0001,0.20336014032363892
6749,86.07352941176471,0.05,68,23,291,-438.0882352941176,,,1562,0.0001,2.3919710656628013e-05
7000,,0.05,,,,,0.0,87.2,1624,0.0001,0.00017470413877163082
7170,86.05555555555556,0.05,72,24,289,-415.4861111111111,,,1667,0.0001,0.04727844148874283
7500,,0.05,,,,,0.0,84.6,1749,0.0001,0.0008587215561419725
7583,86.0657894736842,0.05,76,26,287,-392.5,,,1770,0.0001,0.05611950159072876
7936,86.175,0.05,80,27,287,-380.5,,,1858,0.0001,2.171470880508423
8000,,0.05,,,,,0.0,88.6,1874,0.0001,0.8145235776901245
8343,86.1547619047619,0.05,84,29,285,-362.0833333333333,,,1960,0.0001,0.0014039836823940277
8500,,0.05,,,,,0.0,86.4,1999,0.0001,0.07249456644058228
8761,86.17045454545455,0.05,88,30,284,-346.47727272727275,,,2065,0.0001,1.4012106476002373e-05
9000,,0.05,,,,,0.0,86.6,2124,0.0001,1.1773020560212899e-05
9179,86.30434782608695,0.05,92,32,283,-331.6847826086956,,,2169,0.0001,7.534709311585175e-06
9500,,0.05,,,,,0.0,86.2,2249,0.0001,0.0027764365077018738
9587,86.34375,0.05,96,33,282,-319.1666666666667,,,2271,0.0001,5.16711879754439e-05
9933,86.35,0.05,100,35,282,-307.15,,,2358,0.0001,1.308516766584944e-05
10000,,0.05,,,,,0.0,87.8,2374,0.0001,1.845644146669656e-05
10345,86.33,0.05,104,37,278,-260.4,,,2461,0.0001,1.072330451279413e-05
