#{"t_start": 1662000043.6645927, "env_id": null}
r,l,t
-1075.0,84,0.138523
-930.0,85,0.161833
-875.0,82,0.183914
-975.0,81,0.205564
-865.0,86,0.228396
0.0,91,0.278249
0.0,87,0.303992
0.0,89,0.329681
0.0,90,0.355125
0.0,87,0.380392
-925.0,86,0.750975
-935.0,89,0.947663
-875.0,89,1.177204
-750.0,85,1.401953
-750.0,84,1.617961
0.0,88,1.798106
0.0,89,1.824081
0.0,86,1.849615
0.0,86,1.875188
0.0,83,1.89943
-975.0,82,2.118816
-800.0,85,2.339436
-650.0,88,2.581147
-950.0,84,2.786839
-800.0,90,3.039212
0.0,90,3.253071
0.0,85,3.277134
0.0,87,3.302179
0.0,89,3.327278
0.0,86,3.35224
-900.0,90,3.606848
-700.0,88,3.858468
-725.0,87,4.08972
-600.0,83,4.324634
-625.0,85,4.572146
0.0,87,4.781686
0.0,85,4.805617
0.0,84,4.829378
0.0,90,4.854601
0.0,90,4.879809
-525.0,87,5.126084
-715.0,88,5.385775
-600.0,83,5.623511
-525.0,88,5.889025
-575.0,84,6.145244
0.0,88,6.378634
0.0,85,6.402691
0.0,89,6.428162
0.0,88,6.453413
0.0,87,6.478592
-525.0,82,6.729674
-500.0,87,6.995495
-550.0,87,7.256112
-400.0,91,7.53683
-425.0,89,7.812328
0.0,81,8.035897
0.0,87,8.06135
0.0,89,8.086703
0.0,83,8.110683
0.0,83,8.134567
-375.0,84,8.393312
-400.0,88,8.680039
-575.0,82,8.926553
-600.0,91,9.222022
-550.0,82,9.471524
0.0,82,9.727242
0.0,81,9.750879
0.0,84,9.77458
0.0,86,9.799502
0.0,82,9.823045
-415.0,83,10.089216
-325.0,83,10.360446
-250.0,91,10.6642
-300.0,88,10.952593
-275.0,85,11.228204
0.0,91,11.484699
0.0,89,11.510233
0.0,87,11.535769
0.0,84,11.564547
0.0,90,11.593328
-325.0,85,11.873186
-225.0,82,12.151966
-100.0,82,12.431859
-215.0,81,12.698412
-75.0,89,12.995417
0.0,86,13.298526
0.0,84,13.32248
0.0,82,13.34625
0.0,85,13.370244
0.0,86,13.395245
-25.0,84,13.684095
-75.0,90,13.993872
0.0,88,14.299468
-25.0,89,14.615421
0.0,81,14.902869
0.0,88,15.167147
0.0,89,15.192682
0.0,88,15.218101
0.0,90,15.243523
0.0,82,15.267106
50.0,88,15.577537
75.0,88,15.887404
-25.0,83,16.183834
-25.0,85,16.481639
0.0,83,16.773993
0.0,90,17.055397
0.0,83,17.079334
0.0,88,17.104718
0.0,90,17.130175
0.0,84,17.154077
-75.0,89,17.475946
150.0,89,17.79268
25.0,88,18.108578
-25.0,87,18.423107
50.0,84,18.721343
0.0,87,18.96512
0.0,84,18.989091
0.0,83,19.012984
0.0,89,19.038282
0.0,87,19.063926
0.0,86,19.371066
-50.0,87,19.680243
-25.0,84,19.974838
-75.0,82,20.256004
0.0,83,20.549248
0.0,81,20.83947
0.0,83,20.863276
0.0,89,20.888518
0.0,83,20.91219
0.0,90,20.937419
-75.0,90,21.259197
-170.0,90,21.576491
25.0,87,21.893198
-80.0,86,22.205474
-25.0,91,22.522997
0.0,84,22.744093
0.0,86,22.769355
0.0,85,22.793408
0.0,83,22.817165
0.0,82,22.840942
200.0,87,23.152028
0.0,87,23.460994
-75.0,89,23.772851
-25.0,83,24.074535
0.0,88,24.38948
0.0,90,24.645277
0.0,87,24.670571
0.0,83,24.694479
0.0,85,24.718518
0.0,85,24.742468
-25.0,87,25.053754
-80.0,86,25.36384
-25.0,86,25.671439
0.0,87,25.984007
-50.0,90,26.307142
0.0,90,26.559333
0.0,89,26.584791
0.0,85,26.60884
0.0,88,26.634121
0.0,89,26.659446
-50.0,91,26.988765
-50.0,82,27.287576
55.0,90,27.605738
-75.0,87,27.918078
25.0,84,28.221822
0.0,92,28.481105
0.0,86,28.506352
0.0,83,28.530223
0.0,88,28.555496
0.0,86,28.58064
-25.0,88,28.90206
25.0,91,29.232084
-100.0,87,29.541001
0.0,90,29.853375
